image_name,cluster_label,width,height,center
MM_final_0000.tif,0,707.0,712.0,"[3318.5, 2376.0]"
MM_final_0000.tif,1,588.0,740.0,"[305.0, 2337.0]"
MM_final_0000.tif,2,733.0,531.0,"[1747.5, 4893.5]"
MM_final_0001.tif,0,705.0,711.0,"[3318.5, 2376.5]"
MM_final_0001.tif,2,732.0,530.0,"[1748.0, 4893.0]"
MM_final_0001.tif,1,588.0,741.0,"[305.0, 2337.5]"
MM_final_0002.tif,1,588.0,743.0,"[305.0, 2337.5]"
MM_final_0002.tif,0,708.0,712.0,"[3318.0, 2377.0]"
MM_final_0002.tif,2,731.0,530.0,"[1747.5, 4893.0]"
MM_final_0003.tif,1,587.0,741.0,"[304.5, 2337.5]"
MM_final_0003.tif,2,732.0,530.0,"[1747.0, 4893.0]"
MM_final_0003.tif,0,707.0,711.0,"[3318.5, 2376.5]"
MM_final_0004.tif,1,588.0,742.0,"[304.0, 2338.0]"
MM_final_0004.tif,0,707.0,712.0,"[3319.5, 2377.0]"
MM_final_0004.tif,2,732.0,528.0,"[1747.0, 4893.0]"
MM_final_0005.tif,1,588.0,741.0,"[304.0, 2337.5]"
MM_final_0005.tif,0,705.0,711.0,"[3318.5, 2376.5]"
MM_final_0005.tif,2,732.0,529.0,"[1747.0, 4893.5]"
MM_final_0006.tif,1,588.0,738.0,"[304.0, 2337.0]"
MM_final_0006.tif,0,706.0,711.0,"[3319.0, 2376.5]"
MM_final_0006.tif,2,733.0,541.0,"[1747.5, 4898.5]"
MM_final_0007.tif,1,589.0,732.0,"[304.5, 2335.0]"
MM_final_0007.tif,0,704.0,709.0,"[3319.0, 2376.5]"
MM_final_0007.tif,2,733.0,541.0,"[1748.5, 4898.5]"
MM_final_0008.tif,1,590.0,731.0,"[306.0, 2334.5]"
MM_final_0008.tif,0,704.0,709.0,"[3319.0, 2376.5]"
MM_final_0008.tif,2,731.0,541.0,"[1748.5, 4898.5]"
MM_final_0009.tif,1,592.0,730.0,"[306.0, 2335.0]"
MM_final_0009.tif,0,706.0,710.0,"[3319.0, 2377.0]"
MM_final_0009.tif,2,729.0,540.0,"[1748.5, 4899.0]"
MM_final_0010.tif,1,592.0,730.0,"[306.0, 2335.0]"
MM_final_0010.tif,0,709.0,709.0,"[3319.5, 2376.5]"
MM_final_0010.tif,2,729.0,528.0,"[1748.5, 4895.0]"
MM_final_0011.tif,1,592.0,731.0,"[307.0, 2335.5]"
MM_final_0011.tif,0,707.0,708.0,"[3318.5, 2377.0]"
MM_final_0011.tif,2,729.0,527.0,"[1748.5, 4895.5]"
MM_final_0012.tif,1,591.0,731.0,"[306.5, 2336.5]"
MM_final_0012.tif,0,708.0,705.0,"[3320.0, 2376.5]"
MM_final_0012.tif,2,727.0,526.0,"[1748.5, 4895.0]"
MM_final_0013.tif,1,590.0,729.0,"[306.0, 2335.5]"
MM_final_0013.tif,0,707.0,705.0,"[3320.5, 2376.5]"
MM_final_0013.tif,2,727.0,527.0,"[1748.5, 4894.5]"
MM_final_0014.tif,1,591.0,731.0,"[306.5, 2336.5]"
MM_final_0014.tif,0,706.0,704.0,"[3321.0, 2377.0]"
MM_final_0014.tif,2,729.0,528.0,"[1748.5, 4894.0]"
MM_final_0015.tif,1,592.0,733.0,"[307.0, 2336.5]"
MM_final_0015.tif,0,707.0,704.0,"[3321.5, 2377.0]"
MM_final_0015.tif,2,728.0,528.0,"[1748.0, 4894.0]"
MM_final_0016.tif,1,591.0,730.0,"[306.5, 2336.0]"
MM_final_0016.tif,0,709.0,705.0,"[3321.5, 2377.5]"
MM_final_0016.tif,2,727.0,529.0,"[1747.5, 4893.5]"
MM_final_0017.tif,1,591.0,729.0,"[306.5, 2335.5]"
MM_final_0017.tif,0,705.0,704.0,"[3322.5, 2377.0]"
MM_final_0017.tif,2,727.0,529.0,"[1747.5, 4893.5]"
MM_final_0018.tif,1,591.0,728.0,"[306.5, 2335.0]"
MM_final_0018.tif,0,706.0,706.0,"[3321.0, 2376.0]"
MM_final_0018.tif,2,728.0,529.0,"[1747.0, 4893.5]"
MM_final_0019.tif,1,590.0,729.0,"[306.0, 2335.5]"
MM_final_0019.tif,0,706.0,706.0,"[3321.0, 2376.0]"
MM_final_0019.tif,2,727.0,529.0,"[1747.5, 4893.5]"
MM_final_0020.tif,1,588.0,724.0,"[306.0, 2335.0]"
MM_final_0020.tif,0,705.0,707.0,"[3321.5, 2375.5]"
MM_final_0020.tif,2,727.0,528.0,"[1748.5, 4894.0]"
MM_final_0021.tif,0,703.0,705.0,"[3320.5, 2376.5]"
MM_final_0021.tif,1,589.0,723.0,"[305.5, 2335.5]"
MM_final_0021.tif,2,726.0,528.0,"[1749.0, 4895.0]"
MM_final_0022.tif,0,703.0,703.0,"[3319.5, 2376.5]"
