image_name,cluster_label,width
final_full_stack0001.tif,1,590.0
final_full_stack0001.tif,0,705.0
final_full_stack0001.tif,2,736.0
final_full_stack0002.tif,0,707.0
final_full_stack0002.tif,1,598.0
final_full_stack0002.tif,2,737.0
final_full_stack0003.tif,1,598.0
final_full_stack0003.tif,0,709.0
final_full_stack0003.tif,2,736.0
final_full_stack0004.tif,0,709.0
final_full_stack0004.tif,1,597.0
final_full_stack0004.tif,2,737.0
final_full_stack0005.tif,1,597.0
final_full_stack0005.tif,0,709.0
final_full_stack0005.tif,2,736.0
final_full_stack0006.tif,1,596.0
final_full_stack0006.tif,0,707.0
final_full_stack0006.tif,2,735.0
final_full_stack0007.tif,1,596.0
final_full_stack0007.tif,0,709.0
final_full_stack0007.tif,2,734.0
final_full_stack0008.tif,1,595.0
final_full_stack0008.tif,0,710.0
final_full_stack0008.tif,2,736.0
final_full_stack0009.tif,1,596.0
final_full_stack0009.tif,0,708.0
final_full_stack0009.tif,2,735.0
final_full_stack0010.tif,1,598.0
final_full_stack0010.tif,0,705.0
final_full_stack0010.tif,2,732.0
final_full_stack0011.tif,1,599.0
final_full_stack0011.tif,0,706.0
final_full_stack0011.tif,2,731.0
final_full_stack0012.tif,1,599.0
final_full_stack0012.tif,0,706.0
final_full_stack0012.tif,2,731.0
final_full_stack0013.tif,1,599.0
final_full_stack0013.tif,0,706.0
final_full_stack0013.tif,2,732.0
final_full_stack0014.tif,1,599.0
final_full_stack0014.tif,0,709.0
final_full_stack0014.tif,2,731.0
final_full_stack0015.tif,1,598.0
final_full_stack0015.tif,0,709.0
final_full_stack0015.tif,2,730.0
final_full_stack0016.tif,1,599.0
final_full_stack0016.tif,0,709.0
final_full_stack0016.tif,2,730.0
final_full_stack0017.tif,1,600.0
final_full_stack0017.tif,0,709.0
final_full_stack0017.tif,2,730.0
final_full_stack0018.tif,1,599.0
final_full_stack0018.tif,0,707.0
final_full_stack0018.tif,2,729.0
final_full_stack0019.tif,1,599.0
final_full_stack0019.tif,0,707.0
final_full_stack0019.tif,2,729.0
final_full_stack0020.tif,1,598.0
final_full_stack0020.tif,0,707.0
final_full_stack0020.tif,2,730.0
final_full_stack0021.tif,0,707.0
final_full_stack0021.tif,1,598.0
final_full_stack0021.tif,2,730.0
final_full_stack0022.tif,1,597.0
final_full_stack0022.tif,0,706.0
final_full_stack0022.tif,2,729.0
final_full_stack0023.tif,1,597.0
final_full_stack0023.tif,0,707.0
final_full_stack0023.tif,2,728.0
final_full_stack0024.tif,0,708.0
final_full_stack0024.tif,1,597.0
final_full_stack0024.tif,2,729.0
final_full_stack0025.tif,1,598.0
final_full_stack0025.tif,0,706.0
final_full_stack0025.tif,2,729.0
final_full_stack0026.tif,0,707.0
final_full_stack0026.tif,1,597.0
final_full_stack0026.tif,2,729.0
final_full_stack0027.tif,1,597.0
final_full_stack0027.tif,0,710.0
final_full_stack0027.tif,2,729.0
final_full_stack0028.tif,1,597.0
final_full_stack0028.tif,0,709.0
final_full_stack0028.tif,2,728.0
final_full_stack0029.tif,1,597.0
final_full_stack0029.tif,0,710.0
final_full_stack0029.tif,2,728.0
final_full_stack0030.tif,1,596.0
final_full_stack0030.tif,0,709.0
final_full_stack0030.tif,2,730.0
final_full_stack0031.tif,1,597.0
final_full_stack0031.tif,0,710.0
final_full_stack0031.tif,2,731.0
final_full_stack0032.tif,0,712.0
final_full_stack0032.tif,1,597.0
final_full_stack0032.tif,2,728.0
final_full_stack0033.tif,1,597.0
final_full_stack0033.tif,0,713.0
final_full_stack0033.tif,2,728.0
final_full_stack0034.tif,1,598.0
final_full_stack0034.tif,0,712.0
final_full_stack0034.tif,2,727.0
final_full_stack0035.tif,0,710.0
final_full_stack0035.tif,2,729.0
final_full_stack0035.tif,1,597.0
final_full_stack0036.tif,2,730.0
final_full_stack0036.tif,0,709.0
final_full_stack0036.tif,1,598.0
final_full_stack0037.tif,1,598.0
final_full_stack0037.tif,0,707.0
final_full_stack0037.tif,2,730.0
final_full_stack0038.tif,2,729.0
final_full_stack0038.tif,1,597.0
final_full_stack0038.tif,0,710.0
final_full_stack0039.tif,1,596.0
final_full_stack0039.tif,2,729.0
final_full_stack0039.tif,0,707.0
final_full_stack0040.tif,2,730.0
final_full_stack0040.tif,0,708.0
final_full_stack0040.tif,1,585.0
final_full_stack0041.tif,1,596.0
final_full_stack0041.tif,0,711.0
final_full_stack0041.tif,2,730.0
final_full_stack0042.tif,2,731.0
final_full_stack0042.tif,1,596.0
final_full_stack0042.tif,0,708.0
final_full_stack0043.tif,2,731.0
final_full_stack0043.tif,0,710.0
final_full_stack0043.tif,1,595.0
final_full_stack0044.tif,2,730.0
final_full_stack0044.tif,0,707.0
final_full_stack0044.tif,1,595.0
final_full_stack0045.tif,2,728.0
final_full_stack0045.tif,1,595.0
final_full_stack0045.tif,0,706.0
final_full_stack0046.tif,0,708.0
final_full_stack0046.tif,2,725.0
final_full_stack0046.tif,1,595.0
final_full_stack0047.tif,2,726.0
final_full_stack0047.tif,0,708.0
final_full_stack0047.tif,1,594.0
final_full_stack0048.tif,0,708.0
final_full_stack0048.tif,2,727.0
final_full_stack0048.tif,1,594.0
final_full_stack0049.tif,1,594.0
final_full_stack0049.tif,2,729.0
final_full_stack0049.tif,0,712.0
final_full_stack0050.tif,0,710.0
final_full_stack0050.tif,2,728.0
final_full_stack0050.tif,1,594.0
final_full_stack0051.tif,1,594.0
final_full_stack0051.tif,0,709.0
final_full_stack0051.tif,2,726.0
final_full_stack0052.tif,2,727.0
final_full_stack0052.tif,0,710.0
final_full_stack0052.tif,1,593.0
final_full_stack0053.tif,2,724.0
final_full_stack0053.tif,0,710.0
final_full_stack0053.tif,1,592.0
final_full_stack0054.tif,0,709.0
final_full_stack0054.tif,2,723.0
final_full_stack0054.tif,1,592.0
final_full_stack0055.tif,0,706.0
final_full_stack0055.tif,1,591.0
final_full_stack0055.tif,2,724.0
final_full_stack0056.tif,2,722.0
final_full_stack0056.tif,1,591.0
final_full_stack0056.tif,0,703.0
final_full_stack0057.tif,2,722.0
final_full_stack0057.tif,0,700.0
final_full_stack0057.tif,1,593.0
final_full_stack0058.tif,2,720.0
final_full_stack0058.tif,0,696.0
final_full_stack0058.tif,1,592.0
final_full_stack0059.tif,1,592.0
final_full_stack0059.tif,0,695.0
final_full_stack0059.tif,2,719.0
final_full_stack0060.tif,0,691.0
final_full_stack0060.tif,1,591.0
final_full_stack0060.tif,2,720.0
final_full_stack0061.tif,0,688.0
final_full_stack0061.tif,2,720.0
final_full_stack0061.tif,1,591.0
final_full_stack0062.tif,0,688.0
final_full_stack0062.tif,2,720.0
final_full_stack0062.tif,1,591.0
final_full_stack0063.tif,2,720.0
final_full_stack0063.tif,1,591.0
final_full_stack0063.tif,0,687.0
final_full_stack0064.tif,2,720.0
final_full_stack0064.tif,0,693.0
final_full_stack0064.tif,1,590.0
final_full_stack0065.tif,1,589.0
final_full_stack0065.tif,0,694.0
final_full_stack0065.tif,2,720.0
final_full_stack0066.tif,1,590.0
final_full_stack0066.tif,2,720.0
final_full_stack0066.tif,0,694.0
final_full_stack0067.tif,1,590.0
final_full_stack0067.tif,0,695.0
final_full_stack0067.tif,2,718.0
final_full_stack0068.tif,2,719.0
final_full_stack0068.tif,1,591.0
final_full_stack0068.tif,0,692.0
final_full_stack0069.tif,2,718.0
final_full_stack0069.tif,1,591.0
final_full_stack0069.tif,0,692.0
final_full_stack0070.tif,0,693.0
final_full_stack0070.tif,2,718.0
final_full_stack0070.tif,1,590.0
final_full_stack0071.tif,1,591.0
final_full_stack0071.tif,0,691.0
final_full_stack0071.tif,2,716.0
final_full_stack0072.tif,2,714.0
final_full_stack0072.tif,0,690.0
final_full_stack0072.tif,1,590.0
final_full_stack0073.tif,2,714.0
final_full_stack0073.tif,1,591.0
final_full_stack0073.tif,0,694.0
final_full_stack0074.tif,2,713.0
