image_file,total_detections,Bbox
final/full_stack/final_full_stack0001.tif,3,"[0.6939000487327576, 0.45437732338905334, 0.1660122126340866, 0.13051122426986694]"
final/full_stack/final_full_stack0001.tif,3,"[0.36499518156051636, 0.9550479650497437, 0.13714833557605743, 0.08990407735109329]"
final/full_stack/final_full_stack0001.tif,3,"[0.0662354901432991, 0.45434218645095825, 0.1324709802865982, 0.12218807637691498]"
final/full_stack/final_full_stack0002.tif,3,"[0.3653098940849304, 0.9541527032852173, 0.13958290219306946, 0.09169456362724304]"
final/full_stack/final_full_stack0002.tif,3,"[0.6931322813034058, 0.453705370426178, 0.17064951360225677, 0.13566716015338898]"
final/full_stack/final_full_stack0002.tif,3,"[0.06693985313177109, 0.4493579864501953, 0.13387970626354218, 0.12647855281829834]"
final/full_stack/final_full_stack0003.tif,3,"[0.6930416226387024, 0.4540252089500427, 0.1698913723230362, 0.1358332484960556]"
final/full_stack/final_full_stack0003.tif,3,"[0.3646625876426697, 0.9535262584686279, 0.14136575162410736, 0.09294751286506653]"
final/full_stack/final_full_stack0003.tif,3,"[0.06756249815225601, 0.4490341246128082, 0.13512499630451202, 0.12738606333732605]"
final/full_stack/final_full_stack0004.tif,3,"[0.6933127641677856, 0.4547152519226074, 0.16795042157173157, 0.13397298753261566]"
final/full_stack/final_full_stack0004.tif,3,"[0.3663836717605591, 0.9531177282333374, 0.1399383693933487, 0.09376455843448639]"
final/full_stack/final_full_stack0004.tif,3,"[0.06678953766822815, 0.45025327801704407, 0.1335790753364563, 0.12573540210723877]"
final/full_stack/final_full_stack0005.tif,3,"[0.6925514936447144, 0.4549759030342102, 0.16687582433223724, 0.13210688531398773]"
final/full_stack/final_full_stack0005.tif,3,"[0.36732080578804016, 0.95371413230896, 0.13854674994945526, 0.09257165342569351]"
final/full_stack/final_full_stack0005.tif,3,"[0.06662547588348389, 0.45143362879753113, 0.13325095176696777, 0.12560512125492096]"
final/full_stack/final_full_stack0006.tif,3,"[0.3673776388168335, 0.9545276761054993, 0.13971704244613647, 0.0909445583820343]"
final/full_stack/final_full_stack0006.tif,3,"[0.6925561428070068, 0.4552353620529175, 0.16750308871269226, 0.13216328620910645]"
final/full_stack/final_full_stack0006.tif,3,"[0.06771881878376007, 0.45168131589889526, 0.13543763756752014, 0.12626712024211884]"
final/full_stack/final_full_stack0007.tif,3,"[0.3680122494697571, 0.953872561454773, 0.13965335488319397, 0.0916903093457222]"
final/full_stack/final_full_stack0007.tif,3,"[0.6922823786735535, 0.4550990164279938, 0.16801942884922028, 0.13174991309642792]"
final/full_stack/final_full_stack0007.tif,3,"[0.06886055320501328, 0.45043036341667175, 0.13772110641002655, 0.12593093514442444]"
final/full_stack/final_full_stack0008.tif,3,"[0.36941784620285034, 0.953679084777832, 0.13992023468017578, 0.09250716865062714]"
final/full_stack/final_full_stack0008.tif,3,"[0.6932376027107239, 0.4546632468700409, 0.16897118091583252, 0.13259266316890717]"
final/full_stack/final_full_stack0008.tif,3,"[0.06871748715639114, 0.4504449665546417, 0.1374349743127823, 0.12767209112644196]"
final/full_stack/final_full_stack0009.tif,3,"[0.37009984254837036, 0.9533865451812744, 0.1380152553319931, 0.09322692453861237]"
final/full_stack/final_full_stack0009.tif,3,"[0.6942024230957031, 0.4549056589603424, 0.16884122788906097, 0.1327148675918579]"
final/full_stack/final_full_stack0009.tif,3,"[0.06852349638938904, 0.44990167021751404, 0.13704699277877808, 0.12805648148059845]"
final/full_stack/final_full_stack0010.tif,3,"[0.3698691427707672, 0.9534135460853577, 0.1367999017238617, 0.09317274391651154]"
final/full_stack/final_full_stack0010.tif,3,"[0.6942608952522278, 0.45559680461883545, 0.16831254959106445, 0.13131332397460938]"
final/full_stack/final_full_stack0010.tif,3,"[0.06866967678070068, 0.44852834939956665, 0.13733935356140137, 0.12796391546726227]"
final/full_stack/final_full_stack0011.tif,3,"[0.6946006417274475, 0.4556887447834015, 0.17038460075855255, 0.13115274906158447]"
final/full_stack/final_full_stack0011.tif,3,"[0.36901164054870605, 0.9532594680786133, 0.13483458757400513, 0.09348108619451523]"
final/full_stack/final_full_stack0011.tif,3,"[0.06837765127420425, 0.44925954937934875, 0.1367553025484085, 0.12701767683029175]"
final/full_stack/final_full_stack0012.tif,3,"[0.06852443516254425, 0.4485662281513214, 0.1370488703250885, 0.12723557651042938]"
final/full_stack/final_full_stack0012.tif,3,"[0.6943735480308533, 0.455402672290802, 0.1692100316286087, 0.13317202031612396]"
final/full_stack/final_full_stack0012.tif,3,"[0.3668260872364044, 0.953105628490448, 0.13603928685188293, 0.0937887653708458]"
final/full_stack/final_full_stack0013.tif,3,"[0.06792378425598145, 0.44891318678855896, 0.1358475685119629, 0.12759773433208466]"
final/full_stack/final_full_stack0013.tif,3,"[0.6950644254684448, 0.45419469475746155, 0.16744334995746613, 0.12976013123989105]"
final/full_stack/final_full_stack0013.tif,3,"[0.36844244599342346, 0.9525660872459412, 0.13819120824337006, 0.09486782550811768]"
final/full_stack/final_full_stack0014.tif,3,"[0.6939973831176758, 0.4562261402606964, 0.16723506152629852, 0.13204443454742432]"
final/full_stack/final_full_stack0014.tif,3,"[0.06819265335798264, 0.44836556911468506, 0.13638530671596527, 0.1294955611228943]"
final/full_stack/final_full_stack0014.tif,3,"[0.36643722653388977, 0.9530438780784607, 0.13535581529140472, 0.09391216188669205]"
final/full_stack/final_full_stack0015.tif,3,"[0.0674973577260971, 0.4478350281715393, 0.1349947154521942, 0.13421845436096191]"
final/full_stack/final_full_stack0015.tif,3,"[0.6937737464904785, 0.4565095007419586, 0.16803638637065887, 0.13275788724422455]"
final/full_stack/final_full_stack0015.tif,3,"[0.36705198884010315, 0.952854573726654, 0.13691672682762146, 0.09429075568914413]"
final/full_stack/final_full_stack0016.tif,3,"[0.6941162943840027, 0.4568086564540863, 0.1689973622560501, 0.1320255845785141]"
final/full_stack/final_full_stack0016.tif,3,"[0.06821172684431076, 0.44848567247390747, 0.13642345368862152, 0.13439571857452393]"
final/full_stack/final_full_stack0016.tif,3,"[0.36806347966194153, 0.9524161219596863, 0.13814496994018555, 0.09516775608062744]"
final/full_stack/final_full_stack0017.tif,3,"[0.0681770071387291, 0.4490477442741394, 0.1363540142774582, 0.13328993320465088]"
final/full_stack/final_full_stack0017.tif,3,"[0.6931667327880859, 0.4576319456100464, 0.1702062487602234, 0.13416467607021332]"
final/full_stack/final_full_stack0017.tif,3,"[0.3681804835796356, 0.9523749947547913, 0.13703128695487976, 0.09525011479854584]"
final/full_stack/final_full_stack0018.tif,3,"[0.6927810907363892, 0.45717841386795044, 0.1697544902563095, 0.13476420938968658]"
